Income,LoanAmount,Age,CreditScore,EmploymentYears,Loan_Status
98951,125378,49,716,13.0,0
78581,261443,27,724,7.0,0
33175,180482,56,785,3.0,0
82642,143006,39,670,11.0,0
103265,197311,51,768,6.0,0
65824,95200,46,757,0.0,0
50197,233966,39,636,10.0,0
103329,296071,44,767,8.0,0
74218,202027,31,650,12.0,0
38160,142786,41,742,15.0,0
118977,93305,42,722,9.0,0
109898,178313,38,746,8.0,0
83337,146750,32,772,4.0,0
60506,98602,38,712,6.0,0
63195,87189,29,687,7.0,0
119669,188302,27,662,0.0,0
96058,20000,39,760,15.0,0
46997,71167,34,643,7.0,0
59008,267057,47,661,9.0,0
59946,160688,43,720,11.0,0
38206,239770,30,689,7.0,0
84444,379988,29,735,8.0,0
64142,61443,51,699,8.0,0
85708,317599,25,738,12.0,0
92272,224556,39,704,4.0,0
77180,114681,40,691,20.0,0
69313,172152,21,773,13.0,0
49417,136858,41,850,11.0,0
63724,241827,55,695,11.0,0
118579,138466,32,702,13.0,0
64750,204063,28,688,9.0,0
73872,147116,44,780,13.0,0
79801,239791,41,741,6.0,0
159289,182390,33,661,6.0,0
56193,175136,32,713,6.0,0
68923,262312,32,703,7.0,0
92035,250995,29,782,13.0,0
56164,225932,55,686,6.0,0
67012,258153,29,656,14.0,1
34818,142702,54,682,0.0,0
15764,177151,21,665,19.0,1
78628,385377,40,720,6.0,0
99780,152139,35,617,1.0,1
96442,173892,28,723,4.0,0
35999,241920,26,786,7.0,0
48858,179917,62,717,7.0,0
46983,193458,23,783,10.0,1
57143,195121,42,705,7.0,0
93399,210417,22,801,13.0,0
66289,172430,30,694,3.0,0
62148,189100,39,661,2.0,0
97229,225389,34,743,3.0,1
57940,266383,33,661,12.0,0
69565,142001,40,791,9.0,0
47956,247355,33,698,5.0,0
75775,179831,45,638,10.0,0
71255,91261,33,727,0.0,0
73936,42220,44,663,7.0,0
109387,206445,36,711,13.0,0
67645,85076,40,795,4.0,0
72285,139813,48,769,5.0,0
45701,103488,35,727,0.0,0
21446,293498,39,755,11.0,0
77413,236498,26,729,11.0,0
95597,163195,44,740,17.0,0
63681,148201,37,811,7.0,0
53380,151550,29,694,5.0,0
92384,115160,54,745,5.0,0
72099,199782,22,744,3.0,0
95298,169486,42,760,7.0,0
61049,161757,43,753,6.0,0
95321,24736,33,782,3.0,0
50605,274244,39,698,4.0,0
50543,116087,50,651,8.0,1
77408,225231,30,722,0.0,0
39250,154708,34,671,9.0,0
83200,293683,56,641,7.0,0
42186,58030,33,728,11.0,0
63183,181936,47,750,5.0,0
25618,174736,24,758,5.0,0
37048,25458,33,751,13.0,0
47266,287177,46,693,4.0,0
81872,30520,35,663,3.0,0
38098,230024,48,701,4.0,0
123954,112729,38,700,6.0,0
73985,222213,36,739,9.0,0
93569,196243,29,729,13.0,0
99779,53772,28,740,8.0,0
86465,236903,28,681,4.0,0
52993,195934,50,710,0.0,1
57560,200414,26,732,9.0,0
90689,167962,25,671,8.0,0
21873,247330,52,700,9.0,0
68398,147972,39,714,13.0,0
93076,114239,55,756,5.0,0
17136,300775,37,666,8.0,0
78555,202852,21,732,11.0,0
63516,207857,49,625,9.0,0
61585,41928,44,785,11.0,0
78007,231169,28,807,2.0,0
75121,188930,42,689,15.0,0
73808,150642,49,644,23.0,1
36938,375153,21,737,16.0,1
82032,108826,30,721,8.0,0
62303,187000,34,671,13.0,0
104826,133669,21,726,18.0,0
78646,260618,32,694,14.0,0
30921,267593,38,721,8.0,0
32760,124435,49,738,7.0,0
75821,213949,24,731,2.0,0
33090,225650,45,699,3.0,0
36979,102673,34,728,4.0,0
96663,105846,42,626,4.0,0
88240,138857,24,765,12.0,0
118868,160826,46,787,9.0,0
63252,253497,21,739,12.0,0
54575,85049,42,688,9.0,0
51721,242872,53,701,11.0,0
43573,172866,61,753,2.0,0
68096,256782,43,710,11.0,0
62516,280820,21,671,3.0,0
48807,218452,28,704,16.0,0
81306,199200,52,686,8.0,0
60169,49550,44,756,3.0,0
99385,162988,39,640,7.0,0
73990,218780,44,670,11.0,0
59581,294790,47,744,8.0,0
86486,259579,34,742,6.0,0
72695,261116,41,722,14.0,0
98309,20000,25,693,0.0,0
43344,189344,42,699,10.0,0
65034,246518,21,742,14.0,0
83844,20000,21,769,5.0,0
75871,136509,28,659,13.0,0
75835,46777,33,745,18.0,1
79210,214393,21,693,11.0,0
60418,273950,42,736,4.0,0
61373,178772,49,668,15.0,0
90038,203183,33,752,0.0,0
84365,176749,48,776,2.0,0
64334,100381,45,680,3.0,0
53633,20000,42,680,6.0,0
75716,205820,32,680,4.0,0
56704,92594,41,669,10.0,0
90030,210328,36,745,11.0,0
48732,173720,39,758,3.0,0
80092,163205,32,706,11.0,0
52941,90141,38,806,15.0,0
75258,144529,34,833,7.0,0
64969,258985,21,726,10.0,0
89027,215466,45,717,9.0,0
63224,284802,44,693,16.0,0
82630,117873,47,665,10.0,0
83316,133682,49,816,14.0,0
96273,196003,58,672,11.0,0
47849,331303,27,704,8.0,0
61214,282880,35,684,0.0,0
74066,104318,30,747,4.0,0
42783,261409,47,708,11.0,0
62893,179616,33,710,7.0,0
27663,158947,40,795,10.0,0
65265,259480,40,716,7.0,1
110627,150948,51,763,10.0,0
72798,261249,55,753,8.0,0
61921,273267,39,723,7.0,0
29656,288075,43,689,6.0,0
94947,314882,29,730,0.0,0
68949,347077,51,637,12.0,1
28392,122787,22,738,4.0,1
42464,275648,34,772,0.0,0
75718,217145,34,709,15.0,0
54985,80618,24,592,11.0,1
92757,233733,43,751,3.0,0
85026,255999,27,711,3.0,0
97266,235339,24,784,2.0,0
70499,269899,22,788,10.0,0
62969,188664,39,662,10.0,0
87742,53366,36,813,16.0,0
50758,200294,35,638,8.0,0
84664,148349,43,850,5.0,0
69204,170012,21,771,10.0,0
90320,135804,33,749,2.0,0
101303,269910,40,703,2.0,0
52456,198272,47,660,11.0,0
56289,265230,32,747,5.0,0
78579,202483,39,739,13.0,0
56745,168238,25,708,8.0,0
59901,281636,24,738,12.0,1
38062,196074,33,785,0.0,0
56029,155199,25,766,8.0,0
94502,136073,30,737,8.0,0
71735,323336,37,693,2.0,0
66140,76992,45,700,17.0,0
54257,254815,27,646,4.0,0
65980,408056,43,727,7.0,0
95929,174861,21,805,5.0,0
85149,231197,21,686,15.0,0
56903,32491,29,759,4.0,0
75384,261510,22,781,8.0,0
115983,308402,37,718,5.0,0
16197,191615,40,773,0.0,0
98721,359856,21,678,5.0,0
50654,150100,34,657,12.0,0
42694,85174,41,681,7.0,0
65016,258480,24,668,0.0,0
120681,51919,32,692,5.0,0
106636,142808,41,630,9.0,1
28780,114408,34,615,10.0,1
74839,234982,53,696,0.0,0
74665,232358,22,696,9.0,0
51798,178503,37,728,5.0,0
22498,165497,36,681,8.0,0
51013,78377,42,741,12.0,0
83732,171860,49,760,0.0,0
69649,281580,26,715,9.0,0
61727,20000,53,811,6.0,1
110015,116667,50,752,6.0,0
79508,123288,44,760,11.0,0
103081,179747,33,712,13.0,0
53962,246117,33,701,2.0,0
83887,108672,44,781,12.0,0
73948,252392,45,844,6.0,0
60770,164391,42,706,7.0,0
57385,254879,30,655,9.0,0
51149,223231,37,733,6.0,0
116745,269466,54,843,8.0,0
33572,290679,37,690,3.0,0
93620,277241,52,712,7.0,0
57187,222222,42,688,0.0,0
36650,99630,48,665,8.0,0
79926,333562,23,747,9.0,0
92947,205796,36,730,3.0,0
90258,273439,43,663,0.0,0
80215,226653,33,714,0.0,0
67099,261079,49,805,8.0,0
54178,101706,38,795,11.0,0
73475,182046,35,785,13.0,0
73642,126940,34,667,11.0,0
89343,196593,48,608,6.0,0
125419,78076,34,689,8.0,0
65660,275228,51,729,2.0,0
92825,253600,48,754,9.0,0
31436,142209,54,787,11.0,0
66454,196770,42,755,2.0,0
45984,122233,21,712,8.0,0
90676,59411,50,710,7.0,0
58762,108807,41,760,1.0,0
69513,274450,29,811,14.0,0
74066,121986,43,798,16.0,0
90555,223732,23,699,4.0,1
78560,279361,36,720,4.0,0
86702,190921,26,722,5.0,0
54935,235946,58,762,2.0,0
61017,140323,21,792,3.0,0
31990,144204,43,739,0.0,0
76500,232760,35,725,7.0,0
50798,233460,51,811,15.0,0
56596,245574,44,687,10.0,0
75177,247742,43,665,3.0,0
59768,239976,48,759,4.0,0
23560,222296,43,752,0.0,1
36268,241938,27,835,1.0,0
60131,100994,38,782,8.0,0
69198,314479,21,732,16.0,0
64217,104333,34,662,18.0,0
69574,222927,56,777,8.0,0
67614,165451,39,757,8.0,0
63278,137384,33,737,20.0,0
99065,232944,37,740,0.0,0
52758,186232,42,789,13.0,0
52052,114144,54,785,5.0,0
68772,218147,21,681,10.0,0
89449,82164,35,767,12.0,0
90967,195620,44,642,13.0,1
75762,333881,43,713,6.0,0
88604,69176,34,680,9.0,0
81819,217249,46,678,13.0,0
65830,57619,42,655,5.0,0
98687,222388,22,759,8.0,0
80302,121976,47,692,13.0,0
54490,225428,23,761,4.0,0
79442,181214,22,716,13.0,0
80284,105962,42,691,4.0,0
109502,214956,26,726,12.0,0
35525,144539,35,573,7.0,0
86646,193541,24,803,16.0,0
54090,221574,21,739,7.0,0
71519,156460,48,699,5.0,0
90064,330630,41,693,0.0,1
31977,215735,32,650,10.0,0
48224,134221,21,704,12.0,0
27955,20000,23,732,4.0,0
40413,187518,34,719,7.0,0
77834,201720,38,801,8.0,0
88006,126177,51,779,0.0,1
56288,194430,37,769,0.0,0
33489,248700,56,750,0.0,0
50404,198288,45,740,15.0,0
83813,154853,53,720,2.0,0
71204,20000,24,747,9.0,0
63829,150772,62,735,11.0,0
88655,316211,46,760,0.0,0
70158,80830,49,707,11.0,0
33983,55059,38,688,12.0,0
68824,244334,37,819,3.0,0
76012,143255,39,743,9.0,0
104956,203053,44,794,0.0,0
63470,20000,39,632,8.0,0
38720,221947,21,822,8.0,0
67572,202662,41,727,9.0,0
83125,78148,28,687,7.0,0
78641,131505,40,760,6.0,0
94632,179047,41,719,10.0,0
81967,180151,35,660,10.0,1
21895,177274,48,695,0.0,1
35374,20000,54,778,1.0,0
66902,249793,40,690,6.0,0
68451,20000,51,754,10.0,0
44514,136569,42,761,5.0,0
47145,107040,50,686,11.0,0
67357,237481,54,735,6.0,0
34850,285684,48,724,10.0,0
46113,224280,56,706,3.0,0
61758,167010,38,771,7.0,0
87658,214458,34,719,0.0,0
78031,223658,32,692,2.0,1
58896,176243,54,641,8.0,0
91605,169336,32,639,3.0,0
37182,142129,44,747,13.0,0
57400,157406,28,701,13.0,0
120936,42426,54,645,14.0,0
72145,117264,32,780,3.0,0
81507,164924,37,676,7.0,0
92146,138140,30,631,4.0,0
58379,265540,29,767,5.0,0
67660,195114,27,693,8.0,0
70672,311968,61,689,15.0,0
30554,215333,45,700,11.0,0
73650,31059,31,719,8.0,0
139799,172694,34,799,5.0,0
35613,44816,31,803,0.0,1
87044,265517,51,742,6.0,0
75321,185516,53,706,15.0,0
53104,201557,37,677,6.0,0
83413,367765,21,601,3.0,0
88582,170443,43,706,12.0,0
90863,243944,36,770,15.0,0
118320,93837,47,721,4.0,0
128733,225266,22,670,3.0,0
111426,207440,40,797,11.0,0
72155,31352,46,790,8.0,0
62100,159673,21,689,12.0,0
57720,329360,50,725,7.0,0
94740,141351,42,771,8.0,0
70322,200595,30,727,0.0,0
46984,240633,34,743,0.0,0
62671,128501,38,729,10.0,0
90313,86432,30,810,8.0,0
76756,270602,37,668,0.0,0
95850,272941,41,786,12.0,0
99521,228304,32,741,8.0,0
55916,132352,33,730,13.0,0
54771,186125,44,692,4.0,0
25589,229892,45,722,14.0,0
81249,185658,21,713,6.0,1
95937,296898,32,682,1.0,0
60027,20000,21,678,7.0,0
50225,226783,32,639,7.0,1
52072,388308,45,678,0.0,0
37779,112326,34,833,2.0,0
31473,20000,48,809,8.0,0
87161,20000,42,735,0.0,1
64817,173419,39,818,9.0,0
90735,273645,21,788,0.0,0
69684,197592,46,743,14.0,0
112874,269767,42,697,0.0,0
85001,278234,39,659,17.0,0
48294,169540,38,737,15.0,0
92635,176543,37,786,5.0,0
61094,86863,47,673,13.0,0
92097,250607,41,734,0.0,0
77975,257109,30,702,4.0,0
42153,166496,37,730,10.0,0
82008,84219,52,771,3.0,0
96888,116279,25,638,4.0,0
80392,252065,32,739,5.0,0
42266,235344,53,791,5.0,0
47942,20000,32,728,0.0,0
27518,275272,56,713,19.0,1
75837,218924,24,700,16.0,0
33263,132591,23,681,3.0,0
41987,323898,47,723,6.0,0
68228,188851,27,727,2.0,0
29940,110353,39,850,9.0,0
102897,288398,34,726,3.0,0
48505,222446,30,640,5.0,0
95394,121206,30,787,1.0,1
66258,104567,41,774,3.0,0
86930,181841,45,619,5.0,1
70936,200386,46,720,4.0,0
80283,196219,24,645,0.0,0
77026,226086,35,769,0.0,0
68523,28530,51,656,1.0,0
40058,237054,21,635,8.0,1
35909,92252,50,694,10.0,0
70800,174501,50,646,12.0,0
71162,99694,42,675,12.0,0
85934,132156,46,717,13.0,0
82825,220927,57,695,0.0,0
56379,140759,21,839,5.0,0
81789,114507,36,744,8.0,0
109064,304511,27,728,9.0,0
53875,220950,36,681,5.0,0
99288,220712,49,679,7.0,0
44893,234120,40,716,8.0,0
66964,209334,21,691,8.0,0
72116,130288,41,738,1.0,0
61778,248299,51,697,0.0,1
65925,20000,42,639,12.0,0
37447,156827,41,745,9.0,0
24775,101520,41,742,3.0,0
103134,104160,37,783,15.0,0
73762,156891,50,674,9.0,0
71048,203765,28,624,4.0,0
58735,228767,50,763,17.0,0
73337,150630,47,674,16.0,0
66333,290447,48,711,20.0,0
101470,160905,47,735,7.0,0
76945,148715,31,695,8.0,0
102872,229645,36,755,3.0,0
85404,185689,33,722,0.0,0
68495,275061,27,658,5.0,0
54623,170149,24,742,7.0,0
49127,229734,21,652,8.0,0
51971,211132,46,790,3.0,0
72524,222222,27,788,4.0,0
73778,183926,21,715,3.0,0
55374,413143,46,705,6.0,1
79634,151933,26,742,5.0,0
113905,54323,40,704,6.0,0
39727,231871,28,689,3.0,1
56079,164623,23,656,8.0,0
128605,246238,26,689,5.0,0
98766,225353,42,742,7.0,0
75532,116939,52,690,17.0,0
99504,327469,61,764,13.0,0
41999,209090,33,735,10.0,0
28410,200582,31,714,6.0,0
73115,234899,36,685,2.0,0
61068,210657,34,778,15.0,0
88809,200372,45,783,0.0,0
59347,215892,34,728,0.0,0
97894,203914,65,619,5.0,0
58984,218927,36,692,8.0,0
96057,198032,46,697,4.0,0
47844,338987,42,737,11.0,0
61946,133705,47,769,9.0,0
105250,86601,21,819,5.0,0
23583,162822,42,663,7.0,0
77571,154366,49,700,10.0,0
68687,63914,38,761,10.0,0
72280,266936,47,658,3.0,0
88143,194207,37,728,14.0,0
71700,204902,54,776,9.0,0
87612,237563,39,711,7.0,0
70610,82541,34,739,4.0,0
95615,279605,30,721,9.0,0
81055,106361,40,746,12.0,0
39577,213361,21,738,14.0,1
85546,88018,50,697,0.0,0
15542,293355,40,648,9.0,1
125362,217596,32,707,7.0,0
76283,244947,30,756,2.0,0
82411,182533,29,684,4.0,0
113280,229787,26,669,6.0,0
55809,20000,35,697,17.0,0
131195,248715,49,779,8.0,0
73767,187929,37,638,12.0,1
83859,181679,43,753,12.0,0
82348,49671,26,756,11.0,0
50175,158202,39,630,2.0,0
101284,91984,50,598,10.0,0
86043,396820,21,773,13.0,0
74668,172619,21,752,6.0,0
64895,112177,30,713,9.0,0
104774,275485,49,705,0.0,0
57563,170372,38,686,1.0,0
85308,208024,41,786,7.0,0
71574,236114,29,745,13.0,0
103200,101633,22,766,9.0,0
62937,127706,42,696,8.0,0
31472,192223,35,708,5.0,0
78223,268465,35,719,8.0,0
58336,244277,24,746,6.0,0
44320,178002,33,683,0.0,0
91486,108396,43,669,7.0,0
103920,70841,21,702,6.0,0
119199,297715,29,642,10.0,0
46892,223871,28,839,0.0,0
54329,260807,35,736,8.0,0
59548,263451,40,639,1.0,0
98246,53801,38,702,18.0,0
74242,124349,43,709,4.0,0
76375,70815,21,820,14.0,0
76586,134605,59,700,7.0,0
70388,139331,53,631,0.0,1
78318,189167,53,729,3.0,0
57111,108731,48,743,10.0,0
67790,240988,47,674,10.0,0
68292,96241,28,746,3.0,0
90745,20000,51,735,12.0,0
65718,36072,42,766,13.0,0
74947,108866,37,685,10.0,0
126867,217435,29,705,2.0,0
48446,131709,46,664,5.0,0
96812,188285,40,729,13.0,0
67494,228822,36,710,3.0,0
112292,91394,39,739,8.0,0
75453,34697,38,700,5.0,0
35772,209697,53,658,16.0,0
102295,49974,55,738,10.0,0
65987,122673,38,783,9.0,0
76954,198902,31,790,8.0,0
49828,101926,34,686,17.0,0
66306,227374,21,717,12.0,0
48306,165863,34,739,6.0,0
84371,181296,38,732,3.0,0
17561,150325,44,661,2.0,0
60814,226021,42,683,3.0,0
68322,209334,29,712,2.0,0
77285,203425,64,708,8.0,0
67673,118169,60,777,14.0,0
41210,207513,27,772,6.0,0
31980,187504,32,751,9.0,0
74295,108811,42,763,23.0,0
77413,275287,27,637,12.0,0
68479,283085,56,678,6.0,0
86379,202521,32,765,14.0,0
44766,169026,27,694,10.0,0
74147,158640,43,720,5.0,0
80226,177793,46,803,8.0,0
108103,103550,37,707,1.0,0
66971,240279,37,677,3.0,0
88820,247220,27,761,9.0,0
131532,159909,36,792,7.0,0
30953,202545,27,623,3.0,0
48717,190926,33,714,11.0,0
65114,99466,49,729,8.0,0
34184,178516,57,780,11.0,0
101163,132190,35,704,3.0,0
49961,228703,35,713,9.0,0
74368,109920,29,751,13.0,0
61951,156772,21,725,4.0,0
84643,90391,42,689,11.0,0
80969,167883,32,641,13.0,0
62939,208540,49,681,4.0,0
21481,278137,39,709,4.0,0
68539,100072,58,674,5.0,0
68186,158499,21,756,6.0,0
41147,183310,41,748,7.0,0
57708,20000,21,723,4.0,0
63827,92732,21,741,15.0,0
93858,224711,50,847,7.0,0
81115,169335,59,809,3.0,0
53893,365389,62,638,3.0,1
96452,213572,30,773,5.0,0
55537,243799,35,729,5.0,0
63508,87706,29,765,14.0,0
121007,256947,52,701,11.0,0
80846,307366,44,722,6.0,0
89532,127299,41,697,12.0,0
83256,240127,47,721,4.0,0
72811,252427,35,737,13.0,0
15000,102333,32,734,6.0,0
106860,154616,33,696,3.0,0
75017,234965,34,673,18.0,0
66670,132185,43,762,10.0,0
73417,306608,32,816,8.0,0
40466,201920,38,684,1.0,0
93283,92893,38,728,12.0,0
94085,149718,53,796,10.0,0
64569,177931,53,608,8.0,0
32107,198224,41,778,20.0,0
65991,210735,52,734,13.0,0
83151,211237,35,793,13.0,0
87350,194831,42,743,8.0,0
95950,165974,39,782,1.0,0
35089,163212,49,704,4.0,1
61436,220947,36,742,15.0,0
75000,43245,21,746,15.0,0
56407,136736,36,823,11.0,0
75841,195259,32,734,0.0,0
58978,152662,44,768,2.0,0
79778,261225,58,658,7.0,0
57502,227011,27,806,5.0,0
73145,164612,36,718,17.0,0
67421,39094,35,745,14.0,0
47301,118621,32,711,14.0,0
58218,266725,33,701,4.0,0
72880,59178,34,637,8.0,0
62483,280113,44,796,5.0,0
56123,165142,50,786,11.0,0
99782,229914,45,728,12.0,0
58421,313639,44,691,5.0,0
72816,252563,46,676,9.0,0
81997,183397,46,653,2.0,0
89303,206639,39,679,12.0,0
84461,204584,61,757,5.0,0
51522,52826,42,774,10.0,0
77380,207058,21,784,7.0,0
58559,188628,34,619,11.0,0
43271,202738,35,737,1.0,0
31504,153916,43,774,11.0,0
91165,214811,24,719,15.0,0
61739,42336,33,745,12.0,0
104928,137131,60,705,1.0,1
35302,151651,31,770,2.0,0
27856,147133,53,711,11.0,1
60127,83928,38,784,12.0,0
78828,20000,35,716,19.0,0
59419,151640,45,746,11.0,0
97266,320262,25,729,3.0,0
105334,178269,21,666,6.0,0
52896,197895,33,708,6.0,0
72312,100737,45,767,5.0,0
70246,227397,53,756,15.0,0
95785,134736,37,681,8.0,0
83590,50623,41,753,11.0,1
76743,20000,39,668,11.0,0
89288,89977,48,739,13.0,0
78046,20000,21,655,7.0,0
35009,101837,33,725,4.0,0
66738,213747,27,792,13.0,0
76164,262450,40,660,14.0,0
18502,266816,33,716,12.0,0
94726,256323,29,751,2.0,0
58985,168502,53,663,11.0,0
67323,183484,39,744,13.0,0
101271,201726,46,725,4.0,0
26920,272113,45,765,9.0,0
59023,157775,43,746,8.0,0
43605,210833,27,737,9.0,0
15000,185076,33,621,10.0,1
45399,176583,30,688,11.0,0
90560,293376,21,750,0.0,1
67135,294862,42,802,5.0,0
110759,154749,49,689,14.0,0
41791,312032,30,686,6.0,0
87055,316107,28,728,12.0,1
63093,254337,41,721,5.0,0
68892,122939,35,757,19.0,0
37537,339662,21,743,4.0,1
87351,79942,32,706,0.0,0
63558,145120,29,762,7.0,0
42161,211569,47,814,9.0,0
53589,76615,26,674,17.0,0
101882,228841,36,751,17.0,0
61594,195907,54,696,10.0,0
65138,99077,22,837,3.0,0
57878,313266,39,786,16.0,0
75313,278316,28,690,12.0,0
105012,231008,32,754,13.0,0
59676,268917,28,772,7.0,0
81210,244611,44,736,13.0,0
53873,140729,42,799,12.0,0
68240,97559,34,684,8.0,0
65808,59140,33,794,8.0,0
42040,210025,49,721,4.0,0
76481,200553,46,748,15.0,0
112521,321864,21,818,5.0,0
43334,283751,52,731,4.0,0
98757,124257,36,735,5.0,0
52689,120627,45,720,11.0,0
139737,20000,49,664,4.0,0
52496,218859,26,765,17.0,0
77125,222174,41,677,14.0,0
49805,196950,32,729,5.0,0
97435,327498,21,808,10.0,0
69359,215577,26,662,10.0,0
40330,93392,45,763,9.0,0
69531,213425,33,688,6.0,0
102635,267331,50,647,12.0,1
90296,20000,45,742,6.0,0
33184,269985,48,705,9.0,0
41011,228767,21,698,7.0,0
88675,232686,34,733,8.0,0
86566,157398,47,797,7.0,0
15000,219046,57,695,2.0,1
57679,169553,45,746,1.0,0
75340,217698,27,740,16.0,0
79597,216429,28,746,9.0,0
46100,130372,50,698,4.0,0
107019,76351,46,743,15.0,0
120032,95643,25,680,8.0,0
59063,401471,42,642,11.0,1
96350,66889,45,603,14.0,0
23977,206592,50,714,11.0,0
117104,198234,22,746,11.0,0
80085,219622,33,783,1.0,0
59916,203332,38,749,6.0,0
124145,255867,41,737,11.0,0
85194,101599,44,684,7.0,0
15000,164015,34,796,0.0,0
84881,269237,40,760,1.0,1
73568,140605,50,726,11.0,0
108995,224665,40,756,5.0,0
84477,135973,35,710,6.0,0
89227,253592,31,809,3.0,0
72966,127311,60,755,5.0,0
99521,375725,65,663,7.0,0
32856,120339,32,743,9.0,0
59725,98647,21,760,14.0,0
28617,241956,26,673,11.0,0
56545,120767,53,763,6.0,0
32729,182760,56,653,5.0,0
57920,206488,29,722,5.0,0
68158,174419,29,780,5.0,0
70617,187168,29,783,0.0,0
43905,227878,38,689,10.0,0
86652,227143,44,823,7.0,0
36447,171808,40,728,11.0,0
50083,78318,29,685,3.0,0
